,Count
BB_DO_mgl_IDW_2022_1,4
BB_DO_mgl_IDW_2022_10,3
BB_DO_mgl_IDW_2022_2,3
BB_DO_mgl_IDW_2022_3,3
BB_DO_mgl_IDW_2022_4,3
BB_DO_mgl_IDW_2022_5,3
BB_DO_mgl_IDW_2022_6,4
BB_DO_mgl_IDW_2022_7,3
BB_DO_mgl_IDW_2022_8,3
BB_DO_mgl_IDW_2022_9,3
BB_DO_mgl_IDW_2023_11,3
BB_DO_mgl_IDW_2023_12,3
BB_Sal_ppt_IDW_2022_1,3
BB_Sal_ppt_IDW_2022_10,3
BB_Sal_ppt_IDW_2022_2,3
BB_Sal_ppt_IDW_2022_3,3
BB_Sal_ppt_IDW_2022_4,3
BB_Sal_ppt_IDW_2022_5,3
BB_Sal_ppt_IDW_2022_6,3
BB_Sal_ppt_IDW_2022_7,3
BB_Sal_ppt_IDW_2022_8,3
BB_Sal_ppt_IDW_2022_9,3
BB_Sal_ppt_IDW_2023_11,3
BB_Sal_ppt_IDW_2023_12,3
BB_Turb_ntu_IDW_2022_1,3
BB_Turb_ntu_IDW_2022_10,3
BB_Turb_ntu_IDW_2022_2,3
BB_Turb_ntu_IDW_2022_3,3
BB_Turb_ntu_IDW_2022_4,3
BB_Turb_ntu_IDW_2022_5,3
BB_Turb_ntu_IDW_2022_6,3
BB_Turb_ntu_IDW_2022_7,3
BB_Turb_ntu_IDW_2022_8,3
BB_Turb_ntu_IDW_2022_9,3
BB_Turb_ntu_IDW_2023_11,3
BB_Turb_ntu_IDW_2023_12,3
BB_T_c_IDW_2022_1,3
BB_T_c_IDW_2022_10,3
BB_T_c_IDW_2022_2,3
BB_T_c_IDW_2022_3,3
BB_T_c_IDW_2022_4,3
BB_T_c_IDW_2022_5,3
BB_T_c_IDW_2022_6,3
BB_T_c_IDW_2022_7,3
BB_T_c_IDW_2022_8,3
BB_T_c_IDW_2022_9,3
BB_T_c_IDW_2023_11,3
BB_T_c_IDW_2023_12,3
CH_DO_mgl_IDW_2017_1,3
CH_DO_mgl_IDW_2017_10,3
CH_DO_mgl_IDW_2017_2,3
CH_DO_mgl_IDW_2017_3,3
CH_DO_mgl_IDW_2017_4,3
CH_DO_mgl_IDW_2017_5,3
CH_DO_mgl_IDW_2017_6,3
CH_DO_mgl_IDW_2017_7,3
CH_DO_mgl_IDW_2017_8,3
CH_DO_mgl_IDW_2017_9,3
CH_DO_mgl_IDW_2018_11,3
CH_DO_mgl_IDW_2018_12,3
CH_Sal_ppt_IDW_2017_1,3
CH_Sal_ppt_IDW_2017_10,3
CH_Sal_ppt_IDW_2017_2,4
CH_Sal_ppt_IDW_2017_3,3
CH_Sal_ppt_IDW_2017_4,3
CH_Sal_ppt_IDW_2017_5,3
CH_Sal_ppt_IDW_2017_6,3
CH_Sal_ppt_IDW_2017_7,3
CH_Sal_ppt_IDW_2017_8,3
CH_Sal_ppt_IDW_2017_9,3
CH_Sal_ppt_IDW_2018_11,3
CH_Sal_ppt_IDW_2018_12,3
CH_Turb_ntu_IDW_2017_1,3
CH_Turb_ntu_IDW_2017_10,3
CH_Turb_ntu_IDW_2017_2,3
CH_Turb_ntu_IDW_2017_3,3
